cell,model,selection,n,n_raw_features,prevalence,AP_mean,AP_std,AUC_mean,AUC_std,elapsed_sec,cohort,rung,outcome
cohort_8|Demographics|arteriol_scler_bin,LR-elasticnet,Block PCA,145,6,0.35172413793103446,0.540950335672159,0.14004164363452637,0.6628247386142123,0.11106811006036545,2.0,cohort_8,Demographics,arteriol_scler_bin
cohort_8|Demographics|arteriol_scler_bin,SVC-RBF,Block PCA,145,6,0.35172413793103446,0.5173253602916541,0.12485713180446087,0.6359347864611025,0.1052739805566708,3.0,cohort_8,Demographics,arteriol_scler_bin
cohort_8|Demographics|arteriol_scler_bin,RF,Block PCA,145,6,0.35172413793103446,0.5248131860541726,0.11327128145876443,0.6387612971823499,0.10269378381837775,41.3,cohort_8,Demographics,arteriol_scler_bin
cohort_8|Demographics|arteriol_scler_bin,HistGB,Block PCA,145,6,0.35172413793103446,0.47564213841053454,0.0749927477199087,0.6159950381003013,0.07672043844485676,7.1,cohort_8,Demographics,arteriol_scler_bin
cohort_8|Demographics|cvda_4gp2_bin,LR-l2,Block PCA,146,6,0.22602739726027396,0.44766062505551907,0.12117521210331161,0.7059351276742583,0.09536779686924794,2.0,cohort_8,Demographics,cvda_4gp2_bin
cohort_8|Demographics|cvda_4gp2_bin,LR-l1,Block PCA,146,6,0.22602739726027396,0.41184231547409306,0.10711908739017603,0.6926532404793274,0.08643631400444055,2.1,cohort_8,Demographics,cvda_4gp2_bin
cohort_8|Demographics|cvda_4gp2_bin,LR-elasticnet,Block PCA,146,6,0.22602739726027396,0.40113852886805085,0.10703467528926594,0.685450781102955,0.10063596847826857,2.2,cohort_8,Demographics,cvda_4gp2_bin
cohort_8|Demographics|cvda_4gp2_bin,SVC-RBF,Block PCA,146,6,0.22602739726027396,0.4087003330113968,0.11048360516142033,0.705144613840266,0.08626862546940023,3.0,cohort_8,Demographics,cvda_4gp2_bin
cohort_8|Demographics|cvda_4gp2_bin,RF,Block PCA,146,6,0.22602739726027396,0.3603397169471033,0.07467519324370683,0.6361503231068448,0.09187041553829092,41.5,cohort_8,Demographics,cvda_4gp2_bin
cohort_8|Demographics|cvda_4gp2_bin,HistGB,Block PCA,146,6,0.22602739726027396,0.31964762356852555,0.08067934022576288,0.5832925528577703,0.08308287585509491,7.3,cohort_8,Demographics,cvda_4gp2_bin
cohort_8|Demographics|henl_4gp_bin,LR-l2,Block PCA,145,6,0.2620689655172414,0.4488610251549465,0.13343461902246379,0.5915223665223667,0.0953407035038637,2.1,cohort_8,Demographics,henl_4gp_bin
cohort_8|Demographics|henl_4gp_bin,LR-l1,Block PCA,145,6,0.2620689655172414,0.44053072452832615,0.1351390428746825,0.5927849927849927,0.09590842628809142,2.2,cohort_8,Demographics,henl_4gp_bin
cohort_8|Demographics|henl_4gp_bin,LR-elasticnet,Block PCA,145,6,0.2620689655172414,0.4441140511064592,0.1497689556521981,0.5836219336219337,0.10570475588127366,2.5,cohort_8,Demographics,henl_4gp_bin
cohort_8|Demographics|henl_4gp_bin,SVC-RBF,Block PCA,145,6,0.2620689655172414,0.4103728127543501,0.11982348612377879,0.546933621933622,0.08093483989671148,3.2,cohort_8,Demographics,henl_4gp_bin
cohort_8|Demographics|henl_4gp_bin,RF,Block PCA,145,6,0.2620689655172414,0.355273950944006,0.10137061734179102,0.4947330447330447,0.10998611759397764,41.6,cohort_8,Demographics,henl_4gp_bin
cohort_8|Demographics|henl_4gp_bin,HistGB,Block PCA,145,6,0.2620689655172414,0.34412048689754093,0.09444078477844794,0.5121572871572871,0.08000167749761816,7.2,cohort_8,Demographics,henl_4gp_bin
cohort_8|+ 8ft|ad_adnc,LR-l2,Block PCA,146,7,0.6506849315068494,0.7374854316559035,0.04345537438243831,0.576267942583732,0.048411280541493566,2.0,cohort_8,+ 8ft,ad_adnc
cohort_8|+ 8ft|ad_adnc,LR-l1,Block PCA,146,7,0.6506849315068494,0.7412880795612596,0.047839756720845145,0.5894098883572568,0.058452078036791685,2.2,cohort_8,+ 8ft,ad_adnc
cohort_8|+ 8ft|ad_adnc,LR-elasticnet,Block PCA,146,7,0.6506849315068494,0.7392627343882474,0.04785538622347946,0.5846570972886762,0.056014375841782545,2.4,cohort_8,+ 8ft,ad_adnc
cohort_8|+ 8ft|ad_adnc,SVC-RBF,Block PCA,146,7,0.6506849315068494,0.7474066133960032,0.07136365587297613,0.5892822966507176,0.10084020856275959,3.1,cohort_8,+ 8ft,ad_adnc
cohort_8|+ 8ft|ad_adnc,RF,Block PCA,146,7,0.6506849315068494,0.7771475857592095,0.04564244426621288,0.6013875598086125,0.061292980329443095,42.1,cohort_8,+ 8ft,ad_adnc
cohort_8|+ 8ft|ad_adnc,HistGB,Block PCA,146,7,0.6506849315068494,0.7653797387657119,0.046300594635225956,0.5854864433811802,0.07608882503975765,7.3,cohort_8,+ 8ft,ad_adnc
cohort_8|+ 8ft|lb_7reg,LR-l2,Block PCA,146,7,0.2054794520547945,0.3324754946633032,0.11478050163385026,0.5499194847020934,0.08496026063998992,2.2,cohort_8,+ 8ft,lb_7reg
